0,0,0,0,0,0,0,0
247,707,1334,854,1302,846,1786,1075
246,764,248,348,1301,857,1786,1075
249,706,249,348,1301,866,1786,1075
248,706,1326,854,1301,874,1787,1075
1321,396,1332,886,1300,880,1787,1075
249,734,250,347,1300,885,1787,1076
1320,413,251,347,1300,887,1788,1076
1320,420,251,347,1301,888,1788,1077
1320,425,1289,856,1301,887,1788,1076
1320,429,1296,448,1302,884,1788,1077
1320,431,252,347,1302,878,1812,1060
1320,431,253,347,1303,871,1294,931
1321,430,253,347,1303,863,1788,1077
1322,427,253,347,1304,853,1296,913
1322,423,254,346,1305,843,1848,1054
1323,417,255,346,1305,831,1886,1068
1323,410,255,346,1306,820,1848,1006
1324,402,255,346,1306,809,1804,978
1325,393,256,346,1306,798,1804,978
1326,383,256,346,1306,789,1862,1068
1326,373,256,345,254,760,1864,966
1326,364,256,345,254,761,1830,952
1327,355,256,345,254,761,1844,1020
1326,347,256,345,254,761,1888,1070
1327,340,256,344,254,759,1820,984
1327,334,256,344,254,759,1830,1062
1327,330,1318,737,254,758,1838,964
1327,327,257,344,254,759,1843,1048
1327,327,257,344,254,759,1843,1048
1327,328,258,344,254,759,1846,1059
260,707,258,344,251,838,1888,1064
258,731,259,344,252,838,1856,1076
258,731,259,344,252,838,1858,1066
258,731,259,344,1307,829,483,909
258,731,260,343,1307,841,1827,1024
258,730,259,343,1306,852,1816,1046
258,722,259,343,1306,862,1836,998
258,726,259,342,1305,871,1846,1068
258,722,258,342,1305,878,1828,1028
258,722,259,342,1304,883,1283,928
258,722,259,342,1304,887,1848,1016
259,666,259,343,1305,889,1848,1024
260,664,260,343,1305,888,1894,1077
258,680,260,343,1305,886,1896,1077
258,680,1334,896,1306,881,1878,1030
257,679,261,343,1306,875,1834,1076
258,680,261,343,1307,867,1861,1006
258,680,261,343,1308,857,1299,918
258,737,261,342,1309,847,1793,1076
260,670,262,342,1309,835,1798,1056
262,700,262,342,1310,823,1818,1049
260,668,262,341,1310,811,1820,1040
1330,394,263,341,1310,800,1803,1053
260,731,263,340,1310,790,1827,1076
260,733,264,340,260,754,1827,1077
260,733,264,340,262,752,1838,1032
258,738,1320,736,262,751,1825,1048
261,732,1322,732,262,752,1792,1024
262,730,266,339,262,751,1794,1062
262,731,267,339,264,751,1794,1066
266,745,267,339,276,814,1830,1062
265,739,1334,744,1312,767,1880,1074
268,743,269,339,1313,772,1850,1074
268,742,269,339,1313,780,1865,1074
266,711,270,339,1314,789,1865,1075
266,710,270,339,1314,798,1852,1029
266,715,270,338,1314,809,496,914
266,714,270,338,1315,819,1868,1032
266,715,270,338,1315,831,492,903
266,714,270,338,1314,842,1870,1032
266,708,270,338,1314,852,1798,1036
266,708,1334,832,1314,861,1874,1050
266,707,270,338,1313,869,1896,1072
266,707,270,338,1313,875,1874,1057
266,708,1342,866,1313,879,1864,1064
268,716,271,339,1313,881,1806,1024
268,720,271,338,1313,881,1880,1056
1334,420,272,338,1313,878,1852,934
274,728,1330,454,1314,874,1810,1036
1334,425,1332,456,1314,868,1305,927
1334,424,272,338,1315,861,1826,1037
1334,422,1376,472,1315,852,1866,1032
1334,418,271,338,1316,842,510,904
1335,413,271,337,1316,830,1798,1036
267,715,271,337,1316,819,1865,1006
266,740,271,338,1316,809,1844,1017
1336,390,272,338,1316,797,496,914
267,741,272,338,1316,788,1867,1060
266,742,272,338,1316,778,1864,1053
266,740,271,337,268,749,1870,1054
269,724,271,336,270,748,1901,1070
268,725,270,336,268,750,1853,1030
267,721,270,336,268,750,1838,1038
267,721,1329,728,270,743,1890,1072
266,723,270,336,268,750,1870,1030
266,725,1334,736,270,744,1864,1020
267,725,271,336,270,744,1824,1034
267,725,271,336,1316,775,1880,1076
267,725,272,337,1316,783,1894,1070
268,723,272,336,1317,793,1888,1076
267,730,273,336,1317,803,1858,1061
268,723,273,336,1317,814,497,912
268,731,273,336,1317,825,1828,1034
1338,352,274,336,1317,836,1876,1076
272,746,274,336,1317,846,1816,1072
272,746,275,335,1317,855,498,912
1339,380,275,335,1316,863,1810,1072
272,710,275,335,1316,870,1876,1076
272,705,275,335,1316,874,1853,1053
273,707,275,334,1316,876,1808,1034
272,720,276,334,1316,877,1912,1072
272,720,276,334,1317,875,1539,1077
276,698,276,334,1317,871,1881,1072
274,716,277,335,1318,866,1540,1077
277,657,278,335,1319,859,1542,1077
277,659,279,335,1320,850,1545,1077
1339,415,279,335,1320,840,1557,1077
279,660,280,335,1321,829,1555,1077
278,714,280,334,1322,818,1559,1077
278,714,280,334,1322,806,1559,1076
277,739,279,334,274,829,1589,1077
280,738,1312,752,1322,785,1590,1077
278,699,1310,744,1322,775,1559,1076
278,699,279,333,274,828,1560,1076
278,699,279,333,274,828,1884,1076
281,668,1350,736,274,828,1884,1076
280,668,279,333,274,828,1893,1077
281,668,1350,766,278,745,1564,1076
280,668,279,333,278,745,1562,1076
280,668,1350,740,278,745,1895,1076
280,668,279,333,278,745,1897,1076
280,734,279,333,278,744,1564,1076
280,734,278,333,1321,773,1565,1076
278,738,278,332,1321,783,1882,1076
278,738,278,332,1321,793,1563,1075
